FID,city,lat,lon,pm2_5,AOD,AirTemp,DPTemp,RH,SeaLevelPr,WindDir,WindSpeed,NDVI,DEM,POINT_X,POINT_Y
67,Suicheng,33.896299999999997,117.933100000000000,26.500000000000000,0.6270800,172.2010040,-64.6496964,33.6889992,10218.5000000,294.3049927,37.3240013,1774,22,-1105471.079250000000000,-165178.560494000000000
68,Suzhou,31.304099999999998,120.595400000000000,55.600000000000001,0.3420050,175.2469940,-24.9087009,40.2733994,10223.0000000,273.9169922,44.4039993,2034,9,-889455.618804999980000,-478546.377723000010000
69,Taixing,32.166699999999999,120.013600000000000,27.899999999999999,0.5125710,165.0310059,-27.2865009,41.6217003,10223.0000000,187.7859955,45.9292984,1312,6,-935189.888976000020000,-377878.674659000010000
70,Taizhou,32.490699999999997,119.908100000000000,21.100000000000001,0.4413630,152.9010010,-15.5131998,46.4137001,10223.0996094,98.7847977,54.3555984,1541,6,-941591.898074000030000,-341085.023818999990000
71,Tongshan,34.180500000000002,117.157100000000000,19.600000000000001,0.5774490,187.9049988,-83.6285019,28.6882992,10219.0000000,359.5490112,39.9819984,2127,37,-1171472.464830000000000,-124778.204092000000000
72,Wuxi,31.568899999999999,120.288600000000000,40.200000000000003,0.3381430,177.5729980,-31.3367004,38.6636009,10223.2998047,267.4649963,39.6619987,1355,12,-915607.446173000030000,-446481.413044999990000
73,Xiannu,32.428100000000001,119.560500000000000,15.400000000000000,0.6508320,166.3130035,-33.5176010,40.1735992,10223.0000000,191.4889984,44.9049988,2326,11,-974346.872458999980000,-344580.971773999980000
74,Xiaolingwei,32.032400000000003,118.854000000000000,20.399999999999999,0.2187050,190.6809998,-76.0301971,29.4263000,10227.5000000,288.0759888,38.8468018,2549,15,-1044015.396800000000000,-380925.170921000010000
75,Xinghua,32.939200000000000,119.834200000000000,21.300000000000001,0.7943980,149.4570007,-11.0869999,48.1189995,10223.0996094,72.9981003,56.7178001,2011,7,-943657.734935999960000,-290830.892102000010000
76,Xinpu,34.599699999999999,119.159400000000010,20.500000000000000,0.5462210,128.4190063,-20.1585007,50.5592003,10220.7998047,99.1769028,40.6246986,1356,6,-986270.479433999980000,-100676.638277000010000
77,Yancheng,33.357500000000002,120.157300000000010,25.800000000000001,0.3056710,148.7460022,-18.0174007,46.7058983,10221.5996094,98.4362030,54.3502007,2363,3,-909618.465486999950000,-247676.734147999990000
78,Yangzhou,32.397199999999998,119.435800000000000,14.300000000000001,0.7774110,171.6139984,-39.5292015,38.1431007,10223.2998047,220.8730011,41.9777985,1778,15,-986191.701424999980000,-346737.831629999970000
79,Yicheng,31.360600000000002,119.820200000000000,43.200000000000003,0.4612190,192.9900055,-53.6595993,32.4925003,10224.9003906,313.0799866,31.0361996,1171,6,-961450.839246000050000,-464953.056701000020000
80,Zhangjiagang,31.864999999999998,120.538900000000000,44.700000000000003,0.5274770,161.2700043,-19.7416000,43.8587990,10222.7998047,208.2100067,48.4706993,1914,11,-889381.361042000000000,-416109.643221999980000
